Relocate,End Customer,DS_TOP_PO_NAME (DB_PRIORITY_FAST),Top PO Order Aim,Top PO Specification,Top PO Admin Number,Status (Tgs Top Ord),Task Assigned To,Task Name,Task Status
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403953,Disconnect,MPLS VPN Site,000021469,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403953,Disconnect,MPLS VPN Site,000021469,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810575,Disconnect,MPLS VPN Site,20101103-SITEMPLS-0000162578,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810575,Disconnect,MPLS VPN Site,20101103-SITEMPLS-0000162578,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CLUBE DE CAMPO PRO VIDA,Disconnect TEBRA PROVI MPLS VPN Site #093356646,Disconnect,MPLS VPN Site,20170621-SITEMPLS-0000428649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CLUBE DE CAMPO PRO VIDA,Disconnect TEBRA PROVI MPLS VPN Site #093356646,Disconnect,MPLS VPN Site,20170621-SITEMPLS-0000428649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #093356813,Disconnect,MPLS VPN Site,MPLSVPN Site-0001012946,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #093356813,Disconnect,MPLS VPN Site,MPLSVPN Site-0001012946,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084812925,Disconnect,MPLS VPN Site,20101118-SITEMPLS-0000163181,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084812925,Disconnect,MPLS VPN Site,20101118-SITEMPLS-0000163181,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Not Informed,Disconnect TIWSP MPLS VPN Site #093368859,Disconnect,MPLS VPN Site,MPLSVPN Site-0001038649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Not Informed,Disconnect TIWSP MPLS VPN Site #093368859,Disconnect,MPLS VPN Site,MPLSVPN Site-0001038649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Not Informed,Disconnect TIWSP MPLS VPN Site #093368859,Disconnect,MPLS VPN Site,MPLSVPN Site-0001038649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Not Informed,Disconnect TIWSP MPLS VPN Site #093368859,Disconnect,MPLS VPN Site,MPLSVPN Site-0001038649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Not Informed,Disconnect TIWSP MPLS VPN Site #093368859,Disconnect,MPLS VPN Site,MPLSVPN Site-0001038649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Not Informed,Disconnect TIWSP MPLS VPN Site #093368859,Disconnect,MPLS VPN Site,MPLSVPN Site-0001038649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Not Informed,Disconnect TIWSP MPLS VPN Site #093368859,Disconnect,MPLS VPN Site,MPLSVPN Site-0001038649,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093374123,Disconnect,MPLS VPN Site,20110210-SITEMPLS-0000165121,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093374123,Disconnect,MPLS VPN Site,20110210-SITEMPLS-0000165121,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093374123,Disconnect,MPLS VPN Site,20110210-SITEMPLS-0000165121,Processing,Termination Team- ,Validate Disconnection Data,Waiting
